연도,시도,시군구,졸업자,진학자, 진학률 
2019,강원,철원군,484,394,81.4
2019,강원,화천군,206,159,77.2
2019,강원,양구군,295,234,79.3
2019,강원,인제군,221,173,78.3
2019,강원,고성군,256,139,54.3
2019,강원,양양군,196,161,82.1
2019,충북,청주시,"10,579","8,208",77.6
2019,충북,충주시,"2,313","1,741",75.3
2019,충북,제천시,"1,464","1,151",78.6
2019,충북,보은군,293,202,68.9
2019,충북,옥천군,423,315,74.5
2019,충북,영동군,426,321,75.4
2019,충북,진천군,663,429,64.7
2019,충북,괴산군,168,143,85.1
2019,충북,음성군,713,507,71.1
2019,충북,단양군,225,161,71.6
2019,충북,증평군,468,301,64.3
2019,충남,천안시,"7,881","5,623",71.3
2019,충남,공주시,"1,628","1,168",71.7
2019,충남,보령시,891,636,71.4
2019,충남,아산시,"3,428","2,736",79.8
2019,충남,서산시,"1,784","1,440",80.7
2019,충남,논산시,"1,752","1,196",68.3
2019,충남,계룡시,539,430,79.8
2019,충남,금산군,467,323,69.2
2019,충남,부여군,628,463,73.7
2019,충남,서천군,571,451,79
2019,충남,청양군,262,197,75.2
2019,충남,홍성군,"1,105",856,77.5
2019,충남,예산군,890,701,78.8
2019,충남,태안군,519,402,77.5
2019,충남,당진시,"1,577","1,273",80.7
2019,전북,전주시,"9,265","7,594",82
2019,전북,군산시,"3,067","2,273",74.1
2019,전북,익산시,"3,927","2,823",71.9
2019,전북,정읍시,"1,344","1,065",79.2
2019,전북,남원시,939,714,76
2019,전북,김제시,962,731,76
2019,전북,완주군,"1,018",678,66.6
2019,전북,진안군,195,134,68.7
2019,전북,무주군,215,165,76.7
2019,전북,장수군,223,160,71.7
2019,전북,임실군,156,120,76.9
2019,전북,순창군,249,201,80.7
2019,전북,고창군,803,570,71
2019,전북,부안군,553,389,70.3
2019,전남,목포시,"3,316","2,532",76.4
2019,전남,여수시,"3,343","2,378",71.1
2019,전남,순천시,"4,114","3,169",77
2019,전남,나주시,"1,215",804,66.2
2019,전남,광양시,"1,902","1,423",74.8
2019,전남,담양군,627,462,73.7
2019,전남,곡성군,306,198,64.7
2019,전남,구례군,188,147,78.2
2019,전남,고흥군,388,292,75.3
2019,전남,보성군,486,363,74.7
2019,전남,화순군,801,611,76.3
2019,전남,장흥군,328,245,74.7
2019,전남,강진군,313,213,68.1
2019,전남,해남군,588,425,72.3
2019,전남,영암군,579,426,73.6
2019,전남,무안군,820,718,87.6
2019,전남,함평군,367,270,73.6
2019,전남,영광군,615,442,71.9
2019,전남,장성군,478,255,53.3
2019,전남,완도군,382,280,73.3
2019,전남,진도군,254,194,76.4
2019,전남,신안군,211,150,71.1
2019,경북,포항시,"5,987","4,644",77.6
2019,경북,경주시,"2,878","1,994",69.3
2019,경북,김천시,"1,650","1,294",78.4
2019,경북,안동시,"1,918","1,555",81.1
2019,경북,구미시,"5,646","4,267",75.6
2019,경북,영주시,"1,297","1,035",79.8
2019,경북,영천시,915,667,72.9
2019,경북,상주시,"1,161",780,67.2
2019,경북,문경시,739,581,78.6
2019,경북,경산시,"2,454","1,975",80.5
2019,경북,군위군,107,97,90.7
2019,경북,의성군,328,240,73.2
2019,경북,청송군,133,106,79.7
2019,경북,영양군,155,124,80
2019,경북,영덕군,237,217,91.6
2019,경북,청도군,536,427,79.7
2019,경북,고령군,183,135,73.8
2019,경북,성주군,315,239,75.9
2019,경북,칠곡군,"1,069",926,86.6
2019,경북,예천군,268,246,91.8
2019,경북,봉화군,199,133,66.8
2019,경북,울진군,512,373,72.9
2019,경북,울릉군,53,44,83
2019,경남,창원시,"12,100","9,427",77.9
2019,경남,진주시,"4,570","3,508",76.8
2019,경남,통영시,"1,443","1,197",83
2019,경남,사천시,"1,118",791,70.8
2019,경남,김해시,"6,519","5,256",80.6
2019,경남,밀양시,980,777,79.3
2019,경남,거제시,"3,074","2,420",78.7
2019,경남,양산시,"3,363","2,971",88.3
2019,경남,의령군,197,162,82.2
2019,경남,함안군,571,470,82.3
2019,경남,창녕군,685,506,73.9
2019,경남,고성군,555,362,65.2
2019,경남,남해군,505,409,81
2019,경남,하동군,293,234,79.9
2019,경남,산청군,319,258,80.9
2019,경남,함양군,364,257,70.6
2019,경남,거창군,907,782,86.2
2019,경남,합천군,295,259,87.8
2019,제주,제주시,"5,887","4,485",76.2
2019,제주,서귀포시,"1,764","1,371",77.7
2020,서울,종로구,"3,219","1,694",52.6
2020,서울,중구,"2,380",720,30.3
2020,서울,용산구,"2,155",903,41.9
2020,서울,성동구,"1,979",874,44.2
2020,서울,광진구,"2,697","1,690",62.7
2020,서울,동대문구,"2,628","1,611",61.3
2020,서울,중랑구,"2,298","1,292",56.2
2020,서울,성북구,"3,064","1,873",61.1
2020,서울,강북구,"1,926","1,136",59
2020,서울,도봉구,"2,520","1,343",53.3
2020,서울,노원구,"7,567","3,661",48.4
2020,서울,은평구,"4,525","2,246",49.6
2020,서울,서대문구,"1,969","1,292",65.6
2020,서울,마포구,"2,139","1,047",48.9
2020,서울,양천구,"4,614","2,514",54.5
2020,서울,강서구,"5,725","2,981",52.1
2020,서울,구로구,"3,398","1,862",54.8
2020,서울,금천구,"1,485",934,62.9
2020,서울,영등포구,"2,169","1,285",59.2
2020,서울,동작구,"2,145","1,040",48.5
2020,서울,관악구,"3,364","1,726",51.3
2020,서울,서초구,"3,716","1,751",47.1
2020,서울,강남구,"6,578","3,145",47.8
2020,서울,송파구,"5,472","3,034",55.4
2020,서울,강동구,"3,906","2,329",59.6
2020,부산,중구,696,540,77.6
2020,부산,서구,938,495,52.8
